#001_Date,#002_Time,#003_Programnumber,#004_Status,#005_Total Time,#006_Step1,#010_Torque1,#014_Angle1,#015_Step2,#019_Torque2,#023_Angle2,#024_Step3,#028_Torque3,#032_Angle3,#033_StepNOK,#037_TorqueNOK,#041_AngleNOK,#045_FC Error,#046_FC Counter,#042_Torque Unit,#043_Angle Unit,#047_Remark
06.04.2025,00:05:03,5,0,1.9,0,0.00,0,0,0.00,0,3,2.26,2194,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:05:06,5,0,1.8,0,0.00,0,0,0.00,0,3,2.18,1983,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:05:10,5,0,1.8,0,0.00,0,0,0.00,0,3,2.26,1881,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:05:13,5,5,1.8,0,0.00,0,0,0.00,0,0,0.00,0,1,2.32,1830,0,0/0,Nm,deg,
06.04.2025,00:05:17,7,10,1.2,0,0.00,0,0,0.00,0,0,0.00,0,1,0.11,3233,0,0/0,Nm,deg,
06.04.2025,00:05:19,5,0,1.4,0,0.00,0,0,0.00,0,3,2.27,1908,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:05:26,5,0,1.3,0,0.00,0,0,0.00,0,3,2.24,1906,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:05:29,5,0,1.7,0,0.00,0,0,0.00,0,3,2.20,2685,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:05:34,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3360,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:06:03,5,2,0.5,0,0.00,0,0,0.00,0,0,0.00,0,1,2.20,58,0,0/0,Nm,deg,
06.04.2025,00:06:04,7,0,1.4,0,0.00,0,0,0.00,0,3,0.02,4000,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:06:08,5,0,1.3,0,0.00,0,0,0.00,0,3,2.23,1846,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:07:51,5,0,1.6,0,0.00,0,0,0.00,0,3,2.27,2078,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:07:54,5,0,2.1,0,0.00,0,0,0.00,0,3,2.28,2036,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:07:58,5,0,1.8,0,0.00,0,0,0.00,0,3,2.26,1957,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:08:02,5,0,1.7,0,0.00,0,0,0.00,0,3,2.18,1976,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:08:06,5,0,1.4,0,0.00,0,0,0.00,0,3,2.27,1796,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:08:13,5,0,1.4,0,0.00,0,0,0.00,0,3,2.17,2000,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:08:16,5,0,1.7,0,0.00,0,0,0.00,0,3,2.20,2622,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:08:21,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3453,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:13:48,5,0,1.6,0,0.00,0,0,0.00,0,3,2.21,2118,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:13:51,5,0,2.0,0,0.00,0,0,0.00,0,3,2.19,1837,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:13:56,5,0,1.8,0,0.00,0,0,0.00,0,3,2.27,1820,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:14:00,5,0,1.6,0,0.00,0,0,0.00,0,3,2.23,1946,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:14:03,5,0,1.4,0,0.00,0,0,0.00,0,3,2.24,2008,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:14:10,5,0,1.4,0,0.00,0,0,0.00,0,3,2.21,1963,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:14:13,5,0,1.7,0,0.00,0,0,0.00,0,3,2.20,2789,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:14:18,5,0,2.1,0,0.00,0,0,0.00,0,3,2.20,3542,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:17:13,5,0,3.8,0,0.00,0,0,0.00,0,3,2.19,1832,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:17:19,5,0,1.8,0,0.00,0,0,0.00,0,3,2.24,1941,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:17:24,5,0,1.5,0,0.00,0,0,0.00,0,3,2.23,1987,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:17:27,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,1864,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:17:30,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,1802,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:17:38,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,2098,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:17:41,5,0,1.6,0,0.00,0,0,0.00,0,3,2.20,2582,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:17:46,5,0,2.1,0,0.00,0,0,0.00,0,3,2.20,3439,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:19:58,5,0,1.5,0,0.00,0,0,0.00,0,3,2.23,1619,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:20:01,5,0,1.6,0,0.00,0,0,0.00,0,3,2.27,1827,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:20:04,5,0,1.4,0,0.00,0,0,0.00,0,3,2.28,1679,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:20:07,5,0,1.8,0,0.00,0,0,0.00,0,3,2.23,2010,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:20:11,5,0,1.3,0,0.00,0,0,0.00,0,3,2.25,1880,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:20:17,5,0,1.5,0,0.00,0,0,0.00,0,3,2.20,2022,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:20:21,5,0,1.7,0,0.00,0,0,0.00,0,3,2.20,2622,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:20:26,5,0,1.8,0,0.00,0,0,0.00,0,3,2.20,3068,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:23:10,5,0,1.6,0,0.00,0,0,0.00,0,3,2.22,1963,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:23:13,5,0,1.9,0,0.00,0,0,0.00,0,3,2.25,1966,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:23:16,5,0,1.8,0,0.00,0,0,0.00,0,3,2.19,2028,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:23:21,5,0,1.7,0,0.00,0,0,0.00,0,3,2.20,1793,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:23:24,5,0,1.4,0,0.00,0,0,0.00,0,3,2.27,1875,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:23:30,5,0,1.5,0,0.00,0,0,0.00,0,3,2.20,2285,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:23:33,5,0,1.6,0,0.00,0,0,0.00,0,3,2.20,2625,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:23:37,5,0,2.1,0,0.00,0,0,0.00,0,3,2.20,3538,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:25:28,5,0,1.3,0,0.00,0,0,0.00,0,3,2.29,1763,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:25:32,5,0,1.5,0,0.00,0,0,0.00,0,3,2.20,1677,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:25:35,5,0,1.5,0,0.00,0,0,0.00,0,3,2.22,1911,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:25:38,5,5,1.4,0,0.00,0,0,0.00,0,0,0.00,0,1,2.31,1817,0,0/0,Nm,deg,
06.04.2025,00:25:41,5,0,1.4,0,0.00,0,0,0.00,0,3,2.24,2024,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:25:49,5,0,3.2,0,0.00,0,0,0.00,0,3,2.17,1658,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:25:53,5,2,0.7,0,0.00,0,0,0.00,0,0,0.00,0,1,2.20,85,0,0/0,Nm,deg,
06.04.2025,00:25:56,7,0,1.5,0,0.00,0,0,0.00,0,3,0.00,4000,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:25:59,5,0,3.0,0,0.00,0,0,0.00,0,3,2.19,1905,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:26:05,5,0,1.9,0,0.00,0,0,0.00,0,3,2.20,3278,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:28:05,5,0,1.5,0,0.00,0,0,0.00,0,3,2.26,2162,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:28:07,5,0,1.6,0,0.00,0,0,0.00,0,3,2.26,1839,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:28:11,5,0,1.3,0,0.00,0,0,0.00,0,3,2.20,1799,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:28:14,5,0,1.6,0,0.00,0,0,0.00,0,3,2.19,1798,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:28:17,5,0,1.3,0,0.00,0,0,0.00,0,3,2.29,1862,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:28:23,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,1975,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:28:26,5,0,1.6,0,0.00,0,0,0.00,0,3,2.20,2484,0,0.00,0,0,0/0,Nm,deg,
06.04.2025,00:28:30,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3430,0,0.00,0,0,0/0,Nm,deg,
