#001_Date,#002_Time,#003_Programnumber,#004_Status,#005_Total Time,#006_Step1,#010_Torque1,#014_Angle1,#015_Step2,#019_Torque2,#023_Angle2,#024_Step3,#028_Torque3,#032_Angle3,#033_StepNOK,#037_TorqueNOK,#041_AngleNOK,#045_FC Error,#046_FC Counter,#042_Torque Unit,#043_Angle Unit,#047_Remark
04.04.2025,00:45:07,5,0,1.5,0,0.00,0,0,0.00,0,3,2.27,1967,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:45:10,5,0,1.7,0,0.00,0,0,0.00,0,3,2.29,2015,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:45:14,5,0,1.9,0,0.00,0,0,0.00,0,3,2.23,2093,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:45:20,5,0,2.1,0,0.00,0,0,0.00,0,3,2.24,2102,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:45:24,5,0,1.5,0,0.00,0,0,0.00,0,3,2.18,1994,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:45:39,5,0,2.1,0,0.00,0,0,0.00,0,3,2.19,3460,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:45:43,5,0,1.3,0,0.00,0,0,0.00,0,3,2.27,1794,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:45:46,5,0,1.6,0,0.00,0,0,0.00,0,3,2.20,2481,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:47:41,5,0,1.5,0,0.00,0,0,0.00,0,3,2.20,2148,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:47:45,5,3,2.6,0,0.00,0,0,0.00,0,0,0.00,0,1,0.16,5000,0,0/0,Nm,deg,
04.04.2025,00:47:49,7,0,1.4,0,0.00,0,0,0.00,0,3,0.01,4000,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:47:51,7,0,1.3,0,0.00,0,0,0.00,0,3,0.00,4000,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:47:53,5,0,2.0,0,0.00,0,0,0.00,0,3,2.18,1963,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:47:57,5,0,1.9,0,0.00,0,0,0.00,0,3,2.17,2055,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:48:00,5,5,1.7,0,0.00,0,0,0.00,0,0,0.00,0,1,2.34,2048,0,0/0,Nm,deg,
04.04.2025,00:48:04,7,0,1.4,0,0.00,0,0,0.00,0,3,0.02,4000,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:48:07,5,0,1.9,0,0.00,0,0,0.00,0,3,2.27,2598,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:48:10,5,0,1.3,0,0.00,0,0,0.00,0,3,2.20,1895,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:48:15,5,0,1.2,0,0.00,0,0,0.00,0,3,2.29,1750,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:48:17,5,0,1.8,0,0.00,0,0,0.00,0,3,2.20,2819,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:48:22,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3398,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:48:52,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3296,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:49:54,1,0,0.4,0,0.00,0,0,0.00,0,3,4.25,50,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:49:56,1,0,0.6,0,0.00,0,0,0.00,0,3,4.25,91,0,0.00,0,0,0/0,Nm,deg,
04.04.2025,00:49:59,1,0,0.5,0,0.00,0,0,0.00,0,3,4.24,74,0,0.00,0,0,0/0,Nm,deg,
