#001_Date,#002_Time,#003_Programnumber,#004_Status,#005_Total Time,#006_Step1,#010_Torque1,#014_Angle1,#015_Step2,#019_Torque2,#023_Angle2,#024_Step3,#028_Torque3,#032_Angle3,#033_StepNOK,#037_TorqueNOK,#041_AngleNOK,#045_FC Error,#046_FC Counter,#042_Torque Unit,#043_Angle Unit,#047_Remark
05.04.2025,00:04:04,5,5,1.4,0,0.00,0,0,0.00,0,0,0.00,0,1,2.32,1711,0,0/0,Nm,deg,
05.04.2025,00:04:07,7,10,1.0,0,0.00,0,0,0.00,0,0,0.00,0,1,0.10,2472,0,0/0,Nm,deg,
05.04.2025,00:04:10,5,0,1.8,0,0.00,0,0,0.00,0,3,2.29,1924,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:04:13,5,0,1.8,0,0.00,0,0,0.00,0,3,2.18,2026,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:04:16,5,5,1.9,0,0.00,0,0,0.00,0,0,0.00,0,1,2.31,1743,0,0/0,Nm,deg,
05.04.2025,00:04:20,5,0,1.4,0,0.00,0,0,0.00,0,3,2.22,1615,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:04:26,5,0,1.9,0,0.00,0,0,0.00,0,3,2.20,3018,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:04:29,5,0,1.3,0,0.00,0,0,0.00,0,3,2.20,1889,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:04:33,5,0,2.0,0,0.00,0,0,0.00,0,3,2.20,3406,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:04:36,5,0,1.0,0,0.00,0,0,0.00,0,3,2.27,1031,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:04:39,7,10,1.4,0,0.00,0,0,0.00,0,0,0.00,0,1,1.93,3812,0,0/0,Nm,deg,
05.04.2025,00:04:42,5,5,1.4,0,0.00,0,0,0.00,0,0,0.00,0,1,2.34,1849,0,0/0,Nm,deg,
05.04.2025,00:04:45,7,10,1.1,0,0.00,0,0,0.00,0,0,0.00,0,1,1.67,2693,0,0/0,Nm,deg,
05.04.2025,00:04:48,5,0,1.4,0,0.00,0,0,0.00,0,3,2.30,1791,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:07:08,5,0,1.7,0,0.00,0,0,0.00,0,3,2.20,2167,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:07:11,5,0,1.8,0,0.00,0,0,0.00,0,3,2.24,1865,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:07:15,5,0,1.6,0,0.00,0,0,0.00,0,3,2.27,1895,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:07:18,5,0,1.4,0,0.00,0,0,0.00,0,3,2.22,1650,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:07:21,5,0,1.5,0,0.00,0,0,0.00,0,3,2.19,2007,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:07:28,5,0,1.2,0,0.00,0,0,0.00,0,3,2.24,1810,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:07:31,5,0,1.7,0,0.00,0,0,0.00,0,3,2.20,2663,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:07:36,5,0,1.9,0,0.00,0,0,0.00,0,3,2.20,3173,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:10:38,5,0,1.8,0,0.00,0,0,0.00,0,3,2.19,2073,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:10:41,5,0,1.9,0,0.00,0,0,0.00,0,3,2.18,2049,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:10:45,5,0,1.6,0,0.00,0,0,0.00,0,3,2.27,1585,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:10:48,5,0,1.9,0,0.00,0,0,0.00,0,3,2.19,1990,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:10:51,5,0,1.5,0,0.00,0,0,0.00,0,3,2.18,2119,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:10:59,5,0,1.6,0,0.00,0,0,0.00,0,3,2.20,2408,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:11:02,5,0,1.3,0,0.00,0,0,0.00,0,3,2.20,1781,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:11:06,5,0,1.9,0,0.00,0,0,0.00,0,3,2.20,3201,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:13:14,5,0,1.4,0,0.00,0,0,0.00,0,3,2.23,1746,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:13:17,5,0,1.9,0,0.00,0,0,0.00,0,3,2.24,1872,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:13:20,5,0,1.3,0,0.00,0,0,0.00,0,3,2.30,1671,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:13:23,5,5,1.4,0,0.00,0,0,0.00,0,0,0.00,0,1,2.34,1584,0,0/0,Nm,deg,
05.04.2025,00:13:26,7,10,1.1,0,0.00,0,0,0.00,0,0,0.00,0,1,0.10,2712,0,0/0,Nm,deg,
05.04.2025,00:13:28,5,0,1.2,0,0.00,0,0,0.00,0,3,2.20,1616,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:13:35,5,0,1.8,0,0.00,0,0,0.00,0,3,2.20,2803,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:13:39,5,0,1.3,0,0.00,0,0,0.00,0,3,2.20,1735,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:13:44,5,0,2.0,0,0.00,0,0,0.00,0,3,2.26,3367,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:14:11,5,0,2.0,0,0.00,0,0,0.00,0,3,2.23,1403,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:14:14,7,10,1.2,0,0.00,0,0,0.00,0,0,0.00,0,1,1.77,3005,0,0/0,Nm,deg,
05.04.2025,00:14:18,5,0,1.3,0,0.00,0,0,0.00,0,3,2.21,1815,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:14:20,1,10,0.9,0,0.00,0,0,0.00,0,0,0.00,0,1,4.24,111,0,0/0,Nm,deg,
05.04.2025,00:20:12,5,0,1.6,0,0.00,0,0,0.00,0,3,2.21,1892,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:20:15,5,0,1.9,0,0.00,0,0,0.00,0,3,2.24,1973,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:20:19,5,0,1.3,0,0.00,0,0,0.00,0,3,2.19,1819,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:20:22,5,0,1.9,0,0.00,0,0,0.00,0,3,2.25,2003,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:20:26,5,0,1.4,0,0.00,0,0,0.00,0,3,2.21,1826,0,0.00,0,0,0/0,Nm,deg,
05.04.2025,00:20:33,5,0,1.7,0,0.00,0,0,0.00,0,3,2.20,2677,0,0.00,0,0,0/0,Nm,deg,
