#001_Date,#002_Time,#003_Programnumber,#004_Status,#005_Total Time,#006_Step1,#010_Torque1,#014_Angle1,#015_Step2,#019_Torque2,#023_Angle2,#024_Step3,#028_Torque3,#032_Angle3,#033_StepNOK,#037_TorqueNOK,#041_AngleNOK,#045_FC Error,#046_FC Counter,#042_Torque Unit,#043_Angle Unit,#047_Remark
08.04.2025,01:00:24,5,0,2.0,0,0.00,0,0,0.00,0,3,2.29,1892,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:00:27,5,0,1.9,0,0.00,0,0,0.00,0,3,2.27,1947,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:00:30,5,0,1.5,0,0.00,0,0,0.00,0,3,2.27,2052,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:00:33,5,0,1.5,0,0.00,0,0,0.00,0,3,2.24,1970,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:00:38,5,0,2.1,0,0.00,0,0,0.00,0,3,2.20,3539,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:00:42,5,0,1.3,0,0.00,0,0,0.00,0,3,2.20,1910,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:00:44,5,0,2.8,0,0.00,0,0,0.00,0,3,2.20,4965,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:03:57,1,0,0.9,0,0.00,0,0,0.00,0,3,4.32,600,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:04:00,7,0,1.4,0,0.00,0,0,0.00,0,3,0.04,4000,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:04:03,1,0,3.1,0,0.00,0,0,0.00,0,3,4.48,3836,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:04:07,1,0,0.4,0,0.00,0,0,0.00,0,3,4.24,53,0,0.00,0,0,0/0,Nm,deg,
08.04.2025,01:04:08,1,0,0.4,0,0.00,0,0,0.00,0,3,4.24,45,0,0.00,0,0,0/0,Nm,deg,
