#001_Date,#002_Time,#003_Programnumber,#004_Status,#005_Total Time,#006_Step1,#010_Torque1,#014_Angle1,#015_Step2,#019_Torque2,#023_Angle2,#024_Step3,#028_Torque3,#032_Angle3,#033_StepNOK,#037_TorqueNOK,#041_AngleNOK,#045_FC Error,#046_FC Counter,#042_Torque Unit,#043_Angle Unit,#047_Remark
10.04.2025,00:36:51,5,0,1.5,0,0.00,0,0,0.00,0,3,2.26,2083,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:36:54,5,0,2.1,0,0.00,0,0,0.00,0,3,2.26,2124,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:36:57,5,0,1.8,0,0.00,0,0,0.00,0,3,2.23,1935,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:37:01,5,0,1.4,0,0.00,0,0,0.00,0,3,2.27,2139,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:37:04,5,0,1.5,0,0.00,0,0,0.00,0,3,2.19,1862,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:37:08,5,0,2.2,0,0.00,0,0,0.00,0,3,2.20,3905,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:37:12,5,0,1.2,0,0.00,0,0,0.00,0,3,2.25,1705,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:37:14,5,0,1.7,0,0.00,0,0,0.00,0,3,2.17,2640,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:39:24,5,0,1.9,0,0.00,0,0,0.00,0,3,2.19,2141,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:39:28,5,0,2.0,0,0.00,0,0,0.00,0,3,2.23,2026,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:39:31,5,0,1.8,0,0.00,0,0,0.00,0,3,2.18,2205,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:39:35,5,0,1.5,0,0.00,0,0,0.00,0,3,2.20,2063,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:39:39,5,0,1.3,0,0.00,0,0,0.00,0,3,2.17,1721,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:39:43,5,0,2.2,0,0.00,0,0,0.00,0,3,2.20,3656,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:39:46,5,0,1.5,0,0.00,0,0,0.00,0,3,2.24,2137,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:39:49,5,0,1.7,0,0.00,0,0,0.00,0,3,2.20,2757,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:41:40,1,0,0.5,0,0.00,0,0,0.00,0,3,4.25,101,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:41:59,7,0,1.4,0,0.00,0,0,0.00,0,3,0.00,4000,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:42:02,1,0,3.0,0,0.00,0,0,0.00,0,3,4.40,4048,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:42:59,5,0,1.4,0,0.00,0,0,0.00,0,3,2.21,1913,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:43:01,5,0,2.2,0,0.00,0,0,0.00,0,3,2.18,2193,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:43:05,5,0,1.9,0,0.00,0,0,0.00,0,3,2.18,2089,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:43:08,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,2149,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:43:11,5,0,1.4,0,0.00,0,0,0.00,0,3,2.23,2150,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:43:14,5,0,1.9,0,0.00,0,0,0.00,0,3,2.20,3188,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:43:18,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,2095,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:43:21,5,0,1.8,0,0.00,0,0,0.00,0,3,2.20,2818,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:45:30,5,0,1.4,0,0.00,0,0,0.00,0,3,2.22,1992,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:45:32,5,0,2.2,0,0.00,0,0,0.00,0,3,2.30,2124,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:45:35,5,0,1.7,0,0.00,0,0,0.00,0,3,2.24,1904,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:45:38,5,0,1.4,0,0.00,0,0,0.00,0,3,2.22,2069,0,0.00,0,0,0/0,Nm,deg,
10.04.2025,00:45:41,5,0,1.6,0,0.00,0,0,0.00,0,3,2.26,2095,0,0.00,0,0,0/0,Nm,deg,
