#001_Date,#002_Time,#003_Programnumber,#004_Status,#005_Total Time,#006_Step1,#010_Torque1,#014_Angle1,#015_Step2,#019_Torque2,#023_Angle2,#024_Step3,#028_Torque3,#032_Angle3,#033_StepNOK,#037_TorqueNOK,#041_AngleNOK,#045_FC Error,#046_FC Counter,#042_Torque Unit,#043_Angle Unit,#047_Remark
07.04.2025,00:21:10,1,5,3.4,0,0.00,0,0,0.00,0,0,0.00,0,1,4.52,4422,0,0/0,Nm,deg,
07.04.2025,00:21:15,7,0,1.4,0,0.00,0,0,0.00,0,3,0.00,4000,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:21:18,1,0,3.1,0,0.00,0,0,0.00,0,3,4.38,3899,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:21:23,1,0,0.4,0,0.00,0,0,0.00,0,3,4.24,60,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:21:25,7,0,1.4,0,0.00,0,0,0.00,0,3,0.00,4000,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:21:28,1,0,3.1,0,0.00,0,0,0.00,0,3,4.25,4021,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:21:33,1,0,0.4,0,0.00,0,0,0.00,0,3,4.26,35,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:21:34,1,0,0.4,0,0.00,0,0,0.00,0,3,4.24,38,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:21:35,1,0,0.5,0,0.00,0,0,0.00,0,3,4.24,43,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:23:32,5,0,1.5,0,0.00,0,0,0.00,0,3,2.28,1939,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:23:36,5,0,1.8,0,0.00,0,0,0.00,0,3,2.25,2057,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:23:39,5,0,1.7,0,0.00,0,0,0.00,0,3,2.25,2246,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:23:42,5,0,1.4,0,0.00,0,0,0.00,0,3,2.24,1970,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:23:45,5,0,1.4,0,0.00,0,0,0.00,0,3,2.20,1976,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:23:52,5,0,1.3,0,0.00,0,0,0.00,0,3,2.24,1952,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:23:55,5,0,1.8,0,0.00,0,0,0.00,0,3,2.20,2933,0,0.00,0,0,0/0,Nm,deg,
07.04.2025,00:23:59,5,0,2.1,0,0.00,0,0,0.00,0,3,2.20,3576,0,0.00,0,0,0/0,Nm,deg,
